,offence,Highest Offense Code,Occurred Date Time,Date,Time,LocType,Address,Zip Code,Council District,X,Y,Latitude,Longitude,Location
37583,BURGLARY OF VEHICLE,601,03-08-2019 21:30,08-03-2019,2130,OTHER / UNKNOWN,2400 E CESAR CHAVEZ ST,78702,3,3122372,3122372,30.25485753,-97.71762931,"(30.25485753, -97.71762931)"
37597,BURGLARY OF RESIDENCE,500,03-11-2019 21:30,11-03-2019,2130,RESIDENCE / HOME,7203 MESA DR,78731,10,3106480,3106480,30.3614287,-97.765142,"(30.3614287, -97.765142)"
37608,THEFT,600,03-05-2019 12:00,05-03-2019,1200,RESIDENCE / HOME,7310 WOLVERINE ST,78757,7,3120912,3120912,30.34267823,-97.7198777,"(30.34267823, -97.7198777)"
37680,BURGLARY OF VEHICLE,601,03-10-2019 10:00,10-03-2019,1000,STREETS / HWY / ROAD / ALLEY,715 E 8TH ST,78701,9,3116884,3116884,30.26755343,-97.73467415,"(30.26755343, -97.73467415)"
37685,BURGLARY NON RESIDENCE,502,02/15/2019 06:00:00 PM,15-02-2019,1800,OTHER / UNKNOWN,3001 E CESAR CHAVEZ ST,78702,3,3124600,3124600,30.25217614,-97.7106436,"(30.25217614, -97.7106436)"
37695,THEFT OF BICYCLE,609,03-09-2019 12:00,09-03-2019,1200,RESIDENCE / HOME,301 W 39TH ST,78751,9,3116456,3116456,30.30251046,-97.73508947,"(30.30251046, -97.73508947)"
37702,BREACH OF COMPUTER SECURITY,1109,01-08-2019 05:51,08-01-2019,551,HOTEL / MOTEL / ETC.,4533 S IH 35 SVRD NB,78744,2,3111190,3111190,30.20909533,-97.75427728,"(30.20909533, -97.75427728)"
37754,THEFT,600,03-11-2019 20:00,11-03-2019,2000,RESTAURANTS,2000 GUADALUPE ST,78705,9,3114317,3114317,30.28284219,-97.7423974,"(30.28284219, -97.7423974)"
37770,AGG ASSAULT,402,03/14/2019 06:02:00 PM,14-03-2019,1802,OTHER / UNKNOWN,9706 MIDDLE FISKVILLE RD,78753,4,3131946,3131946,30.36099911,-97.6843858,"(30.36099911, -97.6843858)"
37772,BURGLARY OF VEHICLE,601,03-04-2019 10:13,04-03-2019,1013,PARKING LOTS / GARAGE,4409 GAINES RANCH LOOP,78735,8,3091236,3091236,30.24167237,-97.8166141,"(30.24167237, -97.8166141)"
37831,THEFT,600,03-12-2019 12:00,12-03-2019,1200,RESIDENCE / HOME,9203 SLAYTON DR,78753,4,3128593,3128593,30.35992074,-97.69504971,"(30.35992074, -97.69504971)"
37910,BURGLARY OF VEHICLE,601,03-02-2019 21:41,02-03-2019,2141,RESTAURANTS,3301 S LAMAR BLVD,78704,5,3100808,3100808,30.24063083,-97.78632113,"(30.24063083, -97.78632113)"
37912,THEFT,600,03-08-2019 18:32,08-03-2019,1832,GROCERY / SUPERMARKET,5017 W US 290 HWY SVRD EB,78749,8,3089371,3089371,30.23395667,-97.82272228,"(30.23395667, -97.82272228)"
37923,BURGLARY OF VEHICLE,601,03-09-2019 18:15,09-03-2019,1815,RESTAURANTS,1025 BARTON SPRINGS RD,78704,9,3110334,3110334,30.26010247,-97.75562679,"(30.26010247, -97.75562679)"
37965,BURGLARY OF VEHICLE,601,03-04-2019 22:30,04-03-2019,2230,PARKING LOTS / GARAGE,4500 E OLTORF ST,78741,3,3120060,3120060,30.2266856,-97.72571479,"(30.2266856, -97.72571479)"
37992,AGG ROBBERY BY ASSAULT,302,02/17/2019 02:44:00 AM,17-02-2019,244,STREETS / HWY / ROAD / ALLEY,200 BLOCK E 5TH ST,78701,9,3114811,3114811,30.26665833,-97.7412665,"(30.26665833, -97.7412665)"
37994,BURGLARY OF VEHICLE,601,03-07-2019 20:00,07-03-2019,2000,STREETS / HWY / ROAD / ALLEY,1412 EVA ST,78704,9,3111877,3111877,30.24965191,-97.75101768,"(30.24965191, -97.75101768)"
37998,BURGLARY OF RESIDENCE,500,03/13/2019 10:49:00 PM,13-03-2019,2249,RESIDENCE / HOME,7015 ASBURY DR,78724,1,3146634,3146634,30.30247206,-97.63943563,"(30.30247206, -97.63943563)"
38006,BURGLARY OF RESIDENCE,500,02-06-2019 16:54,06-02-2019,1654,RESIDENCE / HOME,105 DEEN AVE,78753,4,3127282,3127282,30.35387901,-97.69937263,"(30.35387901, -97.69937263)"
38021,THEFT,600,03/13/2019 09:30:00 AM,13-03-2019,930,RESIDENCE / HOME,801 E 44TH ST,78751,9,3120620,3120620,30.30372951,-97.72185801,"(30.30372951, -97.72185801)"
38099,THEFT,600,03-03-2019 11:30,03-03-2019,1130,OTHER / UNKNOWN,1415 S CONGRESS AVE,78704,9,3112378,3112378,30.2492021,-97.74944259,"(30.2492021, -97.74944259)"
38107,THEFT,600,03-12-2019 21:00,12-03-2019,2100,BAR / NIGHT CLUB,710 RED RIVER ST,78701,9,3116194,3116194,30.26806777,-97.73684658,"(30.26806777, -97.73684658)"
38124,BURG NON RESIDENCE SHEDS,504,03-03-2019 06:27,03-03-2019,627,RESIDENCE / HOME,13730 N FM 620 RD SB,78717,6,3102424,3102424,30.47675373,-97.77494682,"(30.47675373, -97.77494682)"
38126,BURGLARY OF RESIDENCE,500,03-11-2019 03:16,11-03-2019,316,RESIDENCE / HOME,201 STARBRIGHT DR,78745,2,3102908,3102908,30.19473827,-97.78088218,"(30.19473827, -97.78088218)"
38138,AUTO THEFT,700,01/29/2019 07:00:00 AM,29-01-2019,700,RESIDENCE / HOME,2303 CORONADO ST,78702,3,3123054,3123054,30.26219952,-97.71526958,"(30.26219952, -97.71526958)"
38143,BURGLARY OF RESIDENCE,500,03-11-2019 17:36,11-03-2019,1736,RESIDENCE / HOME,12403 MELLOW MEADOW DR,78750,6,3095942,3095942,30.45652049,-97.79606239,"(30.45652049, -97.79606239)"
38160,BURGLARY OF VEHICLE,601,03-05-2019 12:00,05-03-2019,1200,PARKING LOTS / GARAGE,2904 GUADALUPE ST,78705,9,3114062,3114062,30.29588806,-97.74285539,"(30.29588806, -97.74285539)"
38171,THEFT,600,03-11-2019 11:00,11-03-2019,1100,OTHER / UNKNOWN,500 E CESAR CHAVEZ ST,78701,9,3115352,3115352,30.26220352,-97.73967203,"(30.26220352, -97.73967203)"
